rep,alpha,eps,method,interval_width,coverage
5,0.5,0.25,stability,6.191094146901953,1.0
5,0.6,0.25,oracle,2.671477235727751,
5,0.6,0.25,naive,1.0488010254160813,0.0
5,0.6,0.25,fission,1.0488438309070753,1.0
5,0.6,0.25,stability,6.029318873429656,1.0
5,0.7,0.25,oracle,0.5828774285260293,
5,0.7,0.25,naive,0.7706409328151355,1.0
5,0.7,0.25,fission,0.7706409328542217,0.0
5,0.7,0.25,stability,5.888971983549831,1.0
5,0.8,0.25,oracle,0.359526981488449,
5,0.8,0.25,naive,0.5066942062715994,1.0
5,0.8,0.25,fission,0.5066942096943607,0.0
5,0.8,0.25,stability,5.764577992445349,1.0
5,0.9,0.25,oracle,3.1097067003419845,
5,0.9,0.25,naive,0.2513226937101485,0.0
5,0.9,0.25,fission,0.25146185087522,0.0
5,0.9,0.25,stability,5.652551489885042,1.0
6,0.0125,0.25,oracle,1.7783522864718797,
6,0.0125,0.25,naive,4.995410948824748,1.0
6,0.0125,0.25,fission,4.9966683664427975,1.0
6,0.0125,0.25,stability,8.815036000078067,1.0
6,0.025,0.25,oracle,6.556245045527769,
6,0.025,0.25,naive,4.482805455209894,0.0
6,0.025,0.25,fission,5.121040740508083,0.0
6,0.025,0.25,stability,8.391122661459386,1.0
6,0.05,0.25,oracle,0.7683758955147102,
6,0.05,0.25,naive,3.919927969080108,1.0
6,0.05,0.25,fission,3.919927970026342,1.0
6,0.05,0.25,stability,7.942012015311764,1.0
6,0.075,0.25,oracle,2.0752416577870707,
6,0.075,0.25,naive,3.560928683384051,1.0
6,0.075,0.25,fission,3.565481782742461,1.0
6,0.075,0.25,stability,7.665123788587263,1.0
6,0.1,0.25,oracle,1.325995765632104,
6,0.1,0.25,naive,3.2897072539029444,1.0
6,0.1,0.25,fission,3.289707254023705,1.0
6,0.1,0.25,stability,7.4616994258432126,1.0
6,0.2,0.25,oracle,3.5846288877575523,
6,0.2,0.25,naive,2.5631031310892007,0.0
6,0.2,0.25,fission,2.5631033966395322,1.0
6,0.2,0.25,stability,6.944924919738268,1.0
6,0.3,0.25,oracle,3.1871291280565597,
6,0.3,0.25,naive,2.0728667789875797,0.0
6,0.3,0.25,fission,2.073613304072854,1.0
6,0.3,0.25,stability,6.622525464336059,1.0
6,0.4,0.25,oracle,0.8990602269290946,
6,0.4,0.25,naive,1.6832424671458286,1.0
6,0.4,0.25,fission,1.6832871871766437,0.0
6,0.4,0.25,stability,6.383312526783014,1.0
6,0.5,0.25,oracle,1.7487637205334723,
6,0.5,0.25,naive,1.3489795003921632,0.0
6,0.5,0.25,fission,1.3489795003921654,1.0
6,0.5,0.25,stability,6.191094146901953,1.0
6,0.6,0.25,oracle,1.9421909786657832,
6,0.6,0.25,naive,1.0488010254160813,0.0
6,0.6,0.25,fission,1.0488221683890047,1.0
6,0.6,0.25,stability,6.029318873429656,1.0
6,0.7,0.25,oracle,1.1243416495834895,
6,0.7,0.25,naive,0.7706409328151356,0.0
6,0.7,0.25,fission,0.7706429508108047,1.0
6,0.7,0.25,stability,5.888971983549831,1.0
6,0.8,0.25,oracle,0.8990602269290946,
6,0.8,0.25,naive,0.5066942062715993,0.0
6,0.8,0.25,fission,0.506694208482446,0.0
6,0.8,0.25,stability,5.764577992445349,1.0
6,0.9,0.25,oracle,3.164751632480786,
6,0.9,0.25,naive,0.2513226937101485,0.0
6,0.9,0.25,fission,0.2519637302865432,0.0
6,0.9,0.25,stability,5.652551489885042,1.0
7,0.0125,0.25,oracle,3.5960014268459055,
7,0.0125,0.25,naive,4.995410948824748,1.0
7,0.0125,0.25,fission,5.063664513988825,1.0
7,0.0125,0.25,stability,8.815036000078067,1.0
7,0.025,0.25,oracle,6.936622289387275,
7,0.025,0.25,naive,4.482805455209894,0.0
7,0.025,0.25,fission,4.828669415367001,0.0
7,0.025,0.25,stability,8.391122661459386,1.0
7,0.05,0.25,oracle,0.5460378989954339,
7,0.05,0.25,naive,3.919927969080108,1.0
7,0.05,0.25,fission,3.919933545788873,1.0
7,0.05,0.25,stability,7.942012015311764,1.0
7,0.075,0.25,oracle,1.3042033775850945,
7,0.075,0.25,naive,3.560928683384051,1.0
7,0.075,0.25,fission,3.562481025424554,1.0
7,0.075,0.25,stability,7.665123788587263,1.0
7,0.1,0.25,oracle,4.016883093064508,
7,0.1,0.25,naive,3.289707253902944,0.0
7,0.1,0.25,fission,3.314299088670076,1.0
7,0.1,0.25,stability,7.4616994258432126,1.0
7,0.2,0.25,oracle,1.0925547751719589,
7,0.2,0.25,naive,2.5631031310892007,1.0
7,0.2,0.25,fission,2.563103306651281,0.0
7,0.2,0.25,stability,6.944924919738268,1.0
7,0.3,0.25,oracle,1.7509428798505424,
7,0.3,0.25,naive,2.0728667789875797,1.0
7,0.3,0.25,fission,2.0855638951401114,1.0
7,0.3,0.25,stability,6.622525464336059,1.0
7,0.4,0.25,oracle,1.5266685353523697,
7,0.4,0.25,naive,1.6832424671458286,1.0
7,0.4,0.25,fission,1.6832424671462198,1.0
7,0.4,0.25,stability,6.383312526783014,1.0
7,0.5,0.25,oracle,6.936622289387275,
7,0.5,0.25,naive,1.3489795003921632,0.0
7,0.5,0.25,fission,2.298708566393998,0.0
7,0.5,0.25,stability,6.191094146901953,0.0
7,0.6,0.25,oracle,6.936622289387275,
7,0.6,0.25,naive,1.048801025416081,0.0
7,0.6,0.25,fission,1.0980245946812546,0.0
7,0.6,0.25,stability,6.029318873429656,0.0
7,0.7,0.25,oracle,2.4998030705723835,
7,0.7,0.25,naive,0.7706409328151356,0.0
7,0.7,0.25,fission,0.8297325573264662,0.0
7,0.7,0.25,stability,5.88897198354983,1.0
7,0.8,0.25,oracle,1.829958288665065,
7,0.8,0.25,naive,0.5066942062715996,0.0
7,0.8,0.25,fission,0.5066942286158127,1.0
7,0.8,0.25,stability,5.764577992445349,1.0
7,0.9,0.25,oracle,6.936622289387275,
7,0.9,0.25,naive,0.25132269371014804,0.0
7,0.9,0.25,fission,0.25683305085607344,0.0
7,0.9,0.25,stability,5.652551489885042,0.0
8,0.0125,0.25,oracle,0.2179888496701335,
8,0.0125,0.25,naive,4.995410948824748,1.0
8,0.0125,0.25,fission,4.99543572738444,1.0
8,0.0125,0.25,stability,8.815036000078067,1.0
8,0.025,0.25,oracle,0.9766304896345362,
8,0.025,0.25,naive,4.482805455209894,1.0
8,0.025,0.25,fission,4.4828373588551145,1.0
8,0.025,0.25,stability,8.391122661459386,1.0
8,0.05,0.25,oracle,2.0836319358943665,
8,0.05,0.25,naive,3.919927969080108,1.0
8,0.05,0.25,fission,3.950471559166385,1.0
8,0.05,0.25,stability,7.942012015311764,1.0
8,0.075,0.25,oracle,0.5317971103784593,
